MB_CODE16,lat,lon
"10017570000",-33.87161690,151.02676440
"10017580000",-33.85137450,151.01974360
"10017600000",-33.84674740,151.01684970
"10017611100",-33.83145100,151.07385170
"10017611200",-33.83117950,151.07271370
"10017611300",-33.82992880,151.07267410
"10017611400",-33.82944020,151.07312150
"10017611700",-33.83021440,151.07342630
"10017611800",-33.82998360,151.07398940
"10017612200",-33.82778680,151.07469350
"10017620000",-33.86277090,151.01679230
"10017630000",-33.87286690,151.01357220
"10017651000",-33.85918130,151.05895060
"10017652000",-33.85335330,151.05747570
"10017653000",-33.85231310,151.05567350
"10017654000",-33.85148340,151.05382920
"10017655000",-33.85950750,151.05573710
"10017656000",-33.85384720,151.05883800
"10017658000",-33.85289560,151.05653490
"10017660000",-33.86062350,151.01654690
"10017670000",-33.85603300,151.01765530
"10017680000",-33.84910660,151.01943880
"10017690000",-33.85861600,151.01739880
"10017700000",-33.85470600,151.01782170
"10017711000",-33.84245250,151.02130970
"10017712000",-33.84181500,151.02728080
"10017713000",-33.83977180,151.02467160
"10017720000",-33.87449100,151.05591290
"10017730000",-33.87207430,151.04436150
"10017740000",-33.87119700,151.04452390
"10017750000",-33.86967660,151.04319790
"10017760000",-33.86768810,151.04218270
"10017770000",-33.86384080,151.04071190
"10017780000",-33.86586430,151.04171430
"10017790000",-33.88690540,151.02951770
"10017801000",-33.83524050,151.03225780
"10017802000",-33.83347170,151.03617850
"10017811000",-33.83628900,151.02596600
"10017812000",-33.83644850,151.02919260
"10017813000",-33.83808120,151.02855870
"10017830000",-33.88635770,151.04190170
"10017841100",-33.88086000,151.04274300
"10017841200",-33.88163280,151.04260490
"10017842100",-33.87949300,151.04147120
"10017842200",-33.88125790,151.04114470
"10017843100",-33.87950620,151.04253360
"10017843200",-33.87980860,151.04339320
"10017845000",-33.87899450,151.04711120
"10017846000",-33.87526370,151.04287990
"10017848000",-33.88362620,151.04179890
"10017850000",-33.87281580,151.04308910
"10017861000",-33.84736120,151.05835290
"10017862000",-33.85195540,151.05843900
"10017870000",-33.88760540,151.03550460
"10017891000",-33.82889610,151.05206290
"10017892000",-33.83285680,151.05200600
"10017893000",-33.83225190,151.04950870
"10017894000",-33.83525280,151.04907690
"10017895000",-33.83583700,151.05142740
"10017900000",-33.88657160,151.04663960
"10017920000",-33.83332150,151.04086450
"10017930000",-33.85710810,151.05607630
"10017940000",-33.87609680,151.02681890
"10017960000",-33.85691660,151.05558350
"10017971000",-33.84845390,151.03442510
"10017972000",-33.84881100,151.03321150
"10017980000",-33.85559070,151.05579090
"10017990000",-33.84390210,151.03658630
"10018011000",-33.84873060,151.03110280
"10018013000",-33.85135880,151.03215280
"10018014000",-33.84971050,151.03165430
"10018015000",-33.85080500,151.03279940
"10018020000",-33.86321050,151.03272670
"10018031000",-33.84996630,151.04107120
"10018032000",-33.85071350,151.03844640
"10018033000",-33.84730470,151.04113350
"10018041000",-33.83922590,151.04766270
"10018042000",-33.83984850,151.05209760
"10018043000",-33.83953320,151.05011460
"10018051000",-33.83904950,151.03298170
"10018052000",-33.83880820,151.03059320
"10018053000",-33.83710870,151.03143550
"10018072000",-33.86189340,151.03905980
"10018080000",-33.86248990,151.02345830
"10018100000",-33.85580040,151.04306240
"10018110000",-33.85492720,151.05059010
"10018120000",-33.88633430,151.03679520
"10018131000",-33.84234000,151.03071100
"10018132000",-33.84264200,151.03214940
"10018140000",-33.85809330,151.05088720
"10018150000",-33.85594230,151.05434520
"10018160000",-33.84893410,151.03681790
"10018170000",-33.84724540,151.03576070
"10018180000",-33.84569330,151.03520990
"10018190000",-33.84710030,151.03248820
"10018201000",-33.85278490,151.03189800
"10018202000",-33.85247400,151.03308340
"10018220000",-33.85428870,151.02409880
"10018230000",-33.86215190,151.03379660
"10018240000",-33.84113630,151.04589910
"10018251000",-33.83705540,151.04843560
"10018252000",-33.83820500,151.05268450
"10018253000",-33.83778980,151.05073330
"10018261000",-33.83999810,151.03500610
"10018262000",-33.84090740,151.03704140
"10018272000",-33.84179230,151.04206810
"10018273000",-33.84491930,151.04120620
"10018280000",-33.85612850,151.04710620
"10018290000",-33.85793180,151.05188310
"10018300000",-33.84124270,151.03157730
"10018310000",-33.85339370,151.03497040
"10018320000",-33.86226560,151.04725790
"10018330000",-33.86864020,151.03970490
"10018340000",-33.87572570,151.03642170
"10018350000",-33.85721200,151.05662340
"10018360000",-33.83801770,151.04138770
"10018370000",-33.86185130,151.05205430
"10018380000",-33.84462440,151.03777080
"10018390000",-33.86266410,151.04294640
"10018410000",-33.84675160,151.02060310
"10018420000",-33.86231220,151.02294360
"10018430000",-33.86913300,151.03433690
"10018450000",-33.86999910,151.03031290
"10018460000",-33.85992980,151.03737910
"10018470000",-33.88674310,151.03190330
"10018480000",-33.84281390,151.04600110
"10018491000",-33.83784550,151.03658760
"10018492000",-33.83700500,151.03722140
"10018493000",-33.83868970,151.03595260
"10018501000",-33.85020150,151.04440860
"10018502000",-33.85025480,151.05076150
"10018503000",-33.85148390,151.05208510
"10018504000",-33.84937630,151.04877530
"10018510000",-33.83478590,151.06006330
"10018520000",-33.83646940,151.05574840
"10018531000",-33.84397910,151.05317370
"10018532000",-33.84526550,151.05170450
"10018533000",-33.84446030,151.05250460
"10018540000",-33.85057800,151.03643110
"10018560000",-33.84526660,151.03548620
"10018570000",-33.84563280,151.03394810
"10018580000",-33.84738880,151.03248840
"10018591000",-33.86291630,151.04504390
"10018592000",-33.86164250,151.04518840
"10018601000",-33.87980720,151.02600090
"10018611000",-33.88328460,151.02547930
"10018612000",-33.88370490,151.02653470
"10018620000",-33.85409770,151.02263770
"10018630000",-33.86255010,151.02526260
"10018640000",-33.85228080,151.02694740
"10018650000",-33.84188440,151.03497420
"10018660000",-33.85319690,151.03444020
"10018670000",-33.86202070,151.04847750
"10018680000",-33.88497640,151.02727300
"10018690000",-33.86494080,151.03875770
"10018700000",-33.86738810,151.04026930
"10018710000",-33.86920520,151.04129330
"10018720000",-33.83898540,151.04322610
